字,辅码
𥼘,md
𥼚,mh
𥼛,mm
𥼜,mn
𥼟,mn
𥼤,mj
𥼩,mb
𥼪,mo
𥼬,mm
𥼭,ml
𥼮,mm
𥼴,mo
𥼶,mg
𥼺,mu
𥼼,mw
𥽁,mr
𥽈,ma
𥽏,im
𥽐,im
𥽒,"mn,mm"
𥽗,mm
𥽘,mu
𥽟,mw
𥽥,mf
𥽧,vm
𥽨,mu
𥽬,my
𥽰,mm
𥽳,pe
𥽶,mw
𥽸,mx
𥽿,ym
𥾂,mr
𥾅,yu
𥾊,yj
𥾋,yn
𥾌,yz
𥾍,yg
𥾐,yy
𥾓,yg
𥾕,yw
𥾚,yj
𥾛,yd
𥾝,ym
𥾡,"ye,yd"
𥾣,yy
𥾤,yy
𥾧,yl
𥾨,"yv,yq"
𥾮,yg
𥾯,yl
𥾹,yu
𥾼,yl
𥿃,lx
𥿄,"ya,yd"
𥿅,ux
𥿆,yk
𥿇,yr
𥿉,ym
𥿊,yi
𥿋,yc
𥿍,yk
𥿎,yv
𥿑,yc
𥿚,tx
𥿜,yx
𥿝,rx
𥿞,yy
𥿦,yv
𥿧,yk
𥿨,yk
𥿩,"ex,dx"
𥿪,yv
𥿫,yx
𥿭,ys
𥿮,yg
𥿯,yn
𥿰,ym
𥿴,ym
𥿵,"yw,yn"
𥿷,yr
𥿹,yd
𥿺,yn
𦀓,yu
𦀔,yv
𦀕,yb
𦀖,yl
𦀘,yt
𦀛,yu
𦀜,yu
𦀝,yv
𦀠,yv
𦀡,yk
𦀣,px
𦁄,yn
𦁆,ys
𦁇,yx
𦁈,yg
𦁉,yn
𦁍,yr
𦁎,yo
𦁏,yd
𦁐,yi
𦁕,yx
𦁖,yy
𦁗,"yu,yp"
𦁙,ye
𦁛,ym
𦁜,ym
𦁲,yj
𦁳,yz
𦁶,yn
𦂀,yy
𦂄,yb
𦂅,ym
𦂆,yz
𦂇,yw
𦂈,yo
𦂉,yj
𦂊,yw
𦂋,ym
𦂌,tx
𦂍,yk
𦂑,yk
𦂒,yd
𦂔,yl
𦂕,yy
𦂖,yc
𦂗,xx
𦂠,yx
𦂡,yy
𦃄,yf
𦃇,yj
𦃊,ym
𦃋,yb
𦃒,yx
𦃓,yt
𦃔,yl
𦃕,yx
𦃖,yd
𦃗,bx
𦃘,yu
𦃙,ox
𦃝,yx
𦃡,yx
𦃢,ix
𦃤,sx
𦃩,yw
𦄊,"px,hx"
𦄋,yn
𦄌,yw
𦄍,yx
𦄏,yo
𦄐,gx
𦄑,ye
𦄓,"yj,ye"
𦄔,yt
𦄜,yx
𦄯,ax
𦄵,yx
𦄼,yb
𦄽,ym
𦅀,yc
𦅃,yh
𦅄,yw
𦅆,yd
𦅇,yn
𦅈,yp
𦅊,yo
𦅋,yx
𦅏,ye
𦅑,yo
𦅔,hx
𦅵,yp
𦅶,yv
𦅷,yo
𦅸,px
𦅺,ym
𦅼,yk
𦅽,px
𦅿,yi
𦆀,yr
𦆁,wf
𦆄,yb
𦆆,yn
𦆈,yv
𦆋,yb
𦆌,yd
𦆍,yr
𦆘,ye
𦆞,yl
𦆟,"yn,yu"
𦆡,ym
𦆤,yx
𦆦,yr
𦆸,yz
𦆻,yv
𦆾,fu
𦇀,yx
𦇁,yw
𦇄,yt
𦇅,yb
𦇎,yx
𦇔,yv
𦇖,yb
𦇘,yh
𦇙,yl
𦇛,yb
𦇧,yd
𦇪,yu
𦇬,yc
𦇭,yz
𦇱,yy
𦇲,yt
𦇵,ex
𦇸,yw
𦈃,yy
𦈡,se
𦈣,"fv,fk"
𦈤,fv
𦈦,fh
𦈧,fb
𦈨,fk
𦈩,gf
𦈬,vf
𦈰,ft
𦈲,fr
𦈵,fg
𦈶,fk
𦈷,fv
𦈸,fa
𦈺,fk
𦈻,fg
𦉂,fv
𦉈,pf
𦉉,ft
𦉎,ff
𦉐,fw
𦉙,fh
𦉝,pf
𦉟,fk
𦉢,fk
𦉧,hf
𦉨,gf
𦉬,sd
𦉹,su
𦊁,sb
𦊂,sh
𦊃,sv
𦊊,st
𦊋,km
𦊌,ko
𦊎,sx
𦊐,sj
𦊓,ss
𦊗,kv
𦊘,kh
𦊦,ls
𦊧,km
𦊪,kk
𦊫,sw
𦊬,ky
𦊲,sk
𦊻,km
𦊼,sk
𦊽,su
𦊾,sk
𦊿,sa
𦋅,st
𦋆,sg
𦋈,sg
𦋉,sy
𦋋,sm
𦋔,ku
𦋞,sd
𦋡,sm
𦋣,sk
𦋥,su
𦋯,sg
𦋰,sn
𦋳,sv
𦋿,so
𦌀,sp
𦌁,sn
𦌆,kn
𦌈,sn
𦌉,sw
𦌊,sr
𦌋,st
𦌒,sx
𦌔,sb
𦌕,sk
𦌚,sd
𦌟,su
𦌡,se
𦌢,sp
𦌦,sg
𦌩,sy
𦌪,sh
𦌬,sl
𦌰,sk
𦌷,sb
𦌸,sr
𦌺,yy
𦌿,sb
𦍀,sf
𦍁,sx
𦍄,ss
𦍅,kb
𦍌,bw
𦍏,yr
𦍒,ty
𦍕,qy
𦍙,dy
𦍦,yi
𦍧,vy
𦍪,yp
𦍭,yw
𦍲,ly
𦍵,yk
𦍷,yy
𦍸,yc
𦍹,xy
𦍺,yz
𦍼,ya
𦎁,yk
𦎄,yb
𦎇,yu
𦎈,"yt,yy"
𦎊,yb
𦎎,yf
𦎏,yu
𦎐,yl
𦎑,yk
𦎓,yv
𦎘,ya
𦎚,ru
𦎜,yn
𦎝,oy
𦎠,yk
𦎣,yt
𦎦,sy
𦎧,wg
𦎨,vy
𦎭,yw
𦎮,yy
𦎯,uy
𦎰,yg
𦎱,yk
𦎷,ty
𦎸,yb
𦎹,yn
𦎼,uy
𦏀,ye
𦏅,yr
𦏆,yl
𦏇,yj
𦏔,yk
𦏕,yi
𦏗,ph
𦏛,ym
𦏜,py
𦏢,yb
𦏤,yk
𦏥,yd
𦏨,yy
𦏮,yf
𦏱,qs
𦏳,xv
𦏷,dx
𦏸,xy
𦏹,xg
𦏺,gx
𦏻,xk
𦏿,ex
𦐁,yx
𦐄,wx
𦐅,xj
𦐆,xb
𦐇,ox
𦐈,bx
𦐉,vx
𦐍,xg
𦐏,xj
𦐖,xb
𦐛,bx
𦐠,xd
𦐡,fx
𦐣,xv
𦐤,wx
𦐦,xk
𦐨,vx
𦐰,tx
𦐳,bx
𦐸,bx
𦐹,xu
𦐺,xx
𦐽,kx
𦐾,ux
𦐿,xz
𦑂,sx
𦑇,ux
𦑈,xr
𦑋,wx
𦑌,xa
𦑍,gx
𦑎,xd
𦑏,xf
𦑑,xx
𦑘,xx
𦑙,vx
𦑚,xu
𦑛,xy
𦑜,gx
𦑝,vx
𦑞,xt
𦑟,xk
𦑠,xw
𦑡,ox
𦑣,xj
𦑯,xr
𦑱,dx
𦑲,sx
𦑵,fx
𦑸,ix
𦑹,jx
𦑺,yx
𦑻,vx
𦑼,xx
𦑾,xo
𦒁,xg
𦒃,cx
𦒅,xn
𦒆,xx
𦒍,lx
𦒎,xx
𦒏,xw
𦒐,xw
𦒑,sx
𦒜,wx
𦒝,xx
𦒟,bx
𦒦,xv
𦒧,yx
𦒰,ff
𦒶,lw
𦒺,ly
𦒻,lk
𦓈,lb
𦓋,lb
𦓍,le
𦓎,ed
𦓐,pl
𦓓,we
𦓔,ee
𦓕,ey
𦓖,ex
𦓝,pe
𦓢,eq
𦓤,pw
𦓥,le
𦓧,lb
𦓬,lp
𦓯,lt
𦓰,lw
𦓱,lk
𦓳,lb
𦓴,lo
𦓹,ll
𦓺,ll
𦓻,lw
𦓼,lb
𦓽,ln
𦓾,lh
𦔂,lr
𦔃,ly
𦔄,lo
𦔅,lq
𦔆,lt
𦔈,lu
𦔉,lv
𦔋,le
𦔌,lo
𦔍,lc
𦔎,lw
𦔓,ld
𦔔,ly
𦔖,lz
𦔗,ls
𦔛,ll
𦔜,lb
𦔠,lu
𦔥,lg
𦔦,lo
𦔩,lh
𦔫,lb
𦔬,lf
𦔭,lf
𦔮,ev
𦔯,be
𦔰,"be,de"
𦔷,ey
𦔸,eg
𦔹,ei
𦔼,ey
𦔿,et
𦕆,ey
𦕉,ue
𦕏,ev
𦕒,ek
𦕓,ge
𦕙,ek
𦕠,eb
𦕡,lj
𦕢,"lr,lt"
𦕰,em
𦕵,en
𦕷,eu
𦕸,el
𦕺,we
𦕽,eu
𦖀,ez
𦖈,ed
𦖉,ew
𦖊,ek
𦖋,ei
𦖍,eg
𦖎,ev
𦖐,ee
𦖝,ae
𦖞,ue
𦖢,eo
𦖤,eu
𦖦,eb
𦖧,en
𦖩,ee
𦖬,em
𦖸,ew
𦖺,ey
𦖼,eg
𦖽,he
𦖾,en
𦖿,ek
𦗀,eb
𦗁,"be,ue"
𦗂,ex
𦗋,ek
𦗍,ef
𦗐,"en,eu"
𦗑,ek
𦗒,ee
𦗓,eb
𦗔,eg
𦗕,ge
𦗖,ep
𦗗,eb
𦗛,ek
𦗜,er
𦗟,ex
𦗡,eu
𦗢,ek
𦗣,eh
𦗥,de
𦗧,ek
𦗨,em
𦗮,ev
𦗳,en
𦗴,et
𦗵,em
𦗻,ez
𦗼,re
𦘊,ev
𦘌,je
𦘍,et
𦘒,vl
𦘔,yp
𦘤,vu
𦘩,ob
𦘪,ob
𦘲,or
𦘳,ov
𦘴,oq
𦘵,oj
𦘶,oi
𦘸,ov
𦘹,oe
𦘼,ao
𦘿,oy
𦙀,oy
𦙂,br
𦙄,xo
𦙆,ou
𦙇,oa
𦙈,ou
𦙉,oj
𦙊,ho
𦙋,ob
𦙝,od
𦙧,nu
𦙫,ov
𦙮,ob
𦙯,ro
𦙱,oa
𦙴,ov
𦙶,ok
𦙸,oy
𦙹,ox
𦙺,lo
𦚈,ou
𦚊,ov
𦚐,ob
𦚝,ou
𦚞,ow
𦚟,ol
𦚡,ox
𦚢,ob
𦚣,og
𦚥,of
𦚦,oa
𦚧,oo
𦚨,fr
𦚩,om
𦚫,od
𦚸,oa
𦚼,oq
𦛅,nn
𦛏,ot
𦛐,ob
𦛓,oj
𦛔,or
𦛕,ol
𦛖,ov
𦛗,ok
𦛘,od
𦛙,oi
𦛚,ok
𦛜,ok
𦛝,rr
𦛞,ob
𦛟,og
𦛠,ot
𦛢,ow
𦛣,or
𦛤,ob
𦛧,oh
𦛯,uo
𦛰,oz
𦛱,ok
𦛲,oy
𦜁,nf
𦜃,od
𦜄,ow
𦜆,ok
𦜇,oi
𦜊,om
𦜋,od
𦜍,ow
𦜎,on
𦜏,oq
𦜐,ok
𦜒,ow
𦜓,or
𦜖,oy
𦜛,oj
𦜜,ir
𦜭,oc
𦜯,oh
𦜰,ou
𦜱,oi
𦜲,os
𦜴,oo
𦜸,op
𦝏,od
𦝔,ok
𦝖,oo
𦝚,om
𦝛,ol
𦝝,od
𦝞,od
𦝟,ol
𦝢,ot
𦝣,ok
𦝤,oy
𦝥,oj
𦝦,oo
𦝧,ov
𦝨,ob
𦝪,ot
𦝬,oq
𦝮,oo
𦝰,ox
𦝳,oq
𦝴,os
𦝷,ok
𦝼,on
𦞁,ok
𦞂,ok
𦞆,ot
𦞇,oy
𦞈,ou
𦞌,oa
𦞕,ou
𦞖,oo
𦞗,os
𦞙,og
𦞚,oo
𦞝,om
𦞞,og
𦞟,om
𦞡,ob
𦞢,ou
𦞤,ou
𦞥,ot
𦞦,of
𦞨,ok
𦞫,bo
𦞬,ow
𦞭,og
𦞮,oz
𦞱,ng
𦞲,oi
𦞽,og
𦟂,oz
𦟃,oy
𦟄,om
𦟓,oo
𦟔,ow
𦟘,ob
𦟙,oh
𦟛,ol
𦟜,ob
𦟞,ou
𦟟,om
𦟠,ox
𦟣,ow
𦟤,oi
𦟧,ok
𦟨,ow
𦟮,oc
𦟰,oq
𦟱,ob
𦟲,mo
𦠁,pu
𦠄,od
𦠅,oc
𦠆,ob
𦠇,oo
𦠉,oa
𦠎,oq
𦠒,io
𦠓,io
𦠖,os
𦠛,oo
𦠜,ol
𦠞,do
𦠟,oj
𦠠,oj
𦠢,oy
𦠣,ow
𦠪,rr
𦠷,po
𦠸,oy
𦠹,ph
𦠺,pb
𦠻,ob
𦠾,oa
𦠿,oj
𦡂,ov
𦡃,ol
𦡄,oe
𦡅,oy
𦡆,oi
𦡉,oo
𦡕,os
𦡖,vo
𦡙,ow
𦡨,my
𦡪,oa
𦡫,ow
𦡭,pr
𦡱,of
𦡲,od
𦡴,oc
𦡵,ox
𦡹,oh
𦡺,oo
𦡻,oj
𦡼,br
𦡽,ob
𦢆,or
𦢊,ou
𦢎,ob
𦢏,ot
𦢐,os
𦢙,oj
𦢣,ox
𦢧,oo
𦢩,ol
𦢯,ob
𦢱,yf
𦢺,oh
𦢿,ok
𦣀,oe
𦣂,oa
𦣄,wf
𦣇,of
𦣋,"ox,od"
𦣍,od
𦣏,yo
𦣒,oy
𦣖,wf
𦣘,oy
𦣛,ox
𦣜,ou
𦣢,il
𦣥,ib
𦣦,ii
𦣧,ia
𦣨,"it,ir"
𦣩,ii
𦣯,iy
𦣴,iy
𦣸,dm
𦣹,rk
𦣺,zl
𦣻,az
𦣾,zw
𦤂,zy
𦤈,zr
𦤊,zi
𦤋,vz
𦤕,zg
𦤘,wz
𦤙,zi
𦤚,zd
𦤟,pq
𦤢,dc
𦤣,uq
𦤦,zv
𦤧,zx
𦤨,zm
𦤪,oq
𦤫,zl
𦤬,zk
𦤸,it
𦤻,gt
𦤽,ab
𦥁,st
𦥂,tt
𦥈,"yt,bt"
𦥉,bk
𦥊,zt
𦥍,aw
𦥎,tt
𦥏,at
𦥐,sw
𦥑,pa
𦥖,vj
𦥚,pv
𦥝,vj
𦥣,jy
𦥤,pw
𦥦,jm
𦥬,jv
𦥭,bj
𦥰,jw
𦥱,jj
𦥻,ji
𦦃,be
𦦄,oj
𦦅,jt
𦦌,pk
𦦑,pd
𦦕,"gj,qj"
𦦗,pm
𦦘,qr
𦦛,pq
𦦜,fa
𦦢,xj
𦦣,jy
𦦧,pl
𦦩,pv
𦦫,pb
𦦯,pa
𦦱,fj
𦦲,pb
𦦹,yj
𦦺,fk
𦦽,yj
𦦾,fc
𦦿,oe
𦧁,pl
𦧅,pb
𦧈,"gv,qv"
𦧉,"gy,qy"
𦧋,qn
𦧍,vk
𦧏,"gj,qj"
𦧐,sk
𦧒,qk
𦧔,"gg,qg"
𦧖,"ga,qa"
𦧘,nk
𦧙,qv
𦧚,"gk,qk"
𦧛,qk
𦧝,"gz,qz"
𦧞,qk
𦧟,"go,qo"
𦧠,bk
𦧡,hk
𦧢,"gm,qm"
𦧤,"gm,qm"
𦧥,uk
𦧮,"gk,qk"
𦧱,"gb,qb"
𦧴,"gl,ql"
𦧵,"gk,qk"
𦧸,rb
𦧹,"gl,ql"
𦧺,"qb,gb"
𦧼,"gj,qj"
𦨆,ll
𦨇,vv
𦨈,vr
𦨉,vd
𦨋,vn
𦨍,vd
𦨎,vq
𦨖,vu
𦨙,vo
𦨚,vq
𦨜,vg
𦨡,vf
𦨢,vd
𦨣,vk
𦨦,lv
𦨬,vy
𦨭,vy
𦨯,vk
𦨰,ve
𦨲,vv
𦨳,vt
𦨴,vk
𦨵,vi
𦨸,va
𦨹,vv
𦨾,vl
𦩄,vv
𦩆,vw
𦩈,vu
𦩋,vf
𦩌,vr
𦩍,vk
𦩏,vf
𦩕,vj
𦩖,vu
𦩘,vr
𦩜,vk
𦩝,vo
𦩞,vd
𦩠,vu
𦩡,vt
𦩢,vk
𦩣,vd
𦩤,vq
𦩧,zv
𦩩,vn
𦩫,vj
𦩬,vn
𦩭,vx
𦩯,vq
𦩱,vt
𦩲,vy
𦩴,va
𦩵,vn
𦩷,"vr,vz"
𦩸,vd
𦩼,vb
𦩿,"vl,vj"
𦪀,vk
𦪇,vb
𦪈,fv
𦪊,vx
𦪋,vi
𦪍,va
𦪑,vy
𦪒,vb
𦪔,vw
𦪕,vx
𦪖,vt
𦪗,vb
𦪘,vr
𦪙,vx
𦪚,vc
𦪛,vw
𦪜,vx
𦪝,vx
𦪟,vp
𦪠,vl
𦪡,vy
𦪣,kv
𦪧,vw
𦪪,vf
𦪫,vm
𦪬,vr
𦪭,vz
𦪱,iv
𦪳,vu
𦪶,vi
𦪹,vx
𦪽,vs
𦪾,vv
𦪿,lv
𦫀,vm
𦫃,vk
𦫈,vi
𦫉,vd
𦫊,vr
𦫎,lg
𦫔,vb
𦫕,"wb,mb"
𦫖,db
𦫙,bb
𦫡,qb
𦫪,bb
𦫫,bb
𦫭,"bb,ub"
𦫯,pb
𦫰,cb
𦫳,"cl,ll"
𦫶,cl
𦫻,cr
𦬁,cc
𦬂,cw
𦬃,cq
𦬄,cr
𦬅,ck
𦬔,cv
𦬕,cv
𦬖,cj
𦬘,cs
𦬙,cb
𦬚,ch
𦬛,cm
𦬞,ct
𦬣,cy
𦬸,cu
𦬹,ca
𦬺,ce
𦬻,cy
𦬾,cy
𦭁,cy
𦭉,cj
𦭜,cb
𦭟,cy
𦭡,ck
𦭥,cy
𦭭,ce
𦭮,ca
𦭯,cv
𦭰,cn
𦭲,cg
𦭳,cx
𦭴,cv
𦭵,cy
𦭶,ce
𦭷,cn
𦭸,cv
𦭹,ch
𦭺,"cp,cl"
𦭻,cj
𦭼,cy
𦮁,cc
𦮃,cb
𦮅,vl
𦮐,cd
𦮑,ck
𦮯,cd
𦮶,cw
𦮷,cb
𦮸,cu
𦮹,cb
𦮺,cs
𦮻,co
𦮼,cx
𦮾,cn
𦯀,ct
𦯅,cl
𦯈,cy
𦯉,cb
𦯌,cx
𦯍,cv
𦯏,cl
𦯐,ck
𦯑,cu
𦯒,ce
𦯕,cm
𦯖,ct
𦯛,cc
𦯣,cq
𦯤,va
𦯪,cu
𦯫,cy
𦯬,cx
𦯯,cr
𦯰,cu
𦯶,ck
𦰖,cl
𦰘,cd
𦰙,cc
𦰛,cd
𦰡,ce
𦰥,ce
𦰪,cr
𦰫,cb
𦰬,cj
𦰭,cz
𦰯,ck
𦰰,ck
𦰱,ck
𦰲,cy
𦰳,cy
𦰸,cx
𦰹,cy
𦰺,cu
𦰽,cy
𦰾,cs
𦱀,co
𦱁,cy
𦱂,ca
𦱃,cm
𦱅,ck
𦱆,cb
𦱇,cg
𦱊,cl
𦱋,co
𦱌,ce
𦱒,cw
𦱓,cc
𦱔,cb
𦱖,cc
𦱜,cu
𦱠,vl
𦱣,cm
𦱰,cd
𦱱,cc
𦱲,cr
𦱵,cu
𦲫,cf
𦲮,ce
𦲯,cw
𦲰,"cv,ck"
𦲱,cc
𦲲,cw
𦳁,cm
𦳃,ce
𦳄,cg
𦳅,cn
𦳇,ck
𦳈,cb
𦳊,cd
𦳋,cy
𦳌,cx
𦳏,cq
𦳐,cx
𦳑,cm
𦳓,cj
𦳔,cy
𦳗,co
𦳘,"ca,cq"
𦳚,cr
𦳛,cj
𦳜,co
𦳝,cw
𦳞,cf
𦳟,cy
𦳡,cy
𦳢,co
𦳣,cd
𦳥,cu
𦳦,ck
𦳧,cz
𦳩,co
𦳫,cr
𦳬,ck
𦳭,cz
𦳮,cm
𦳯,zu
𦳲,cd
𦳳,cp
𦳶,ci
𦳷,cy
𦳹,cu
𦳺,cz
𦳽,ce
𦳾,ce
𦳿,cu
𦴀,co
𦴉,cg
𦴊,cy
𦴌,cx
𦴍,cy
𦴎,cy
𦴑,cg
𦴔,co
𦴚,cz
𦵐,"ct,cg"
𦵡,ck
𦵣,cu
𦵦,cy
𦵧,cl
𦵩,cy
𦵪,cy
𦵫,cx
𦵬,cv
𦵭,cn
𦵯,ck
𦵱,co
𦵴,cm
𦵵,cv
𦵷,"cr,cz"
𦵸,ch
𦵼,ce
𦵽,cw
𦵾,co
𦵿,cd
𦶀,cw
𦶂,cb
𦶅,cz
𦶇,cm
𦶈,ca
𦶊,cv
𦶋,cx
𦶌,ck
𦶍,cg
𦶎,cu
𦶏,cf
𦶐,cx
𦶑,cx
𦶓,cb
𦶕,co
𦶙,ca
𦶚,cd
𦶩,cm
𦷙,ck
𦷦,cu
𦷲,cx
𦷳,ca
𦷴,cz
𦷵,cl
𦷷,cz
𦷸,cu
𦷹,co
𦷻,vy
𦷽,ce
𦷿,cz
𦸁,ch
𦸂,cm
𦸆,cb
𦸈,cg
𦸉,cg
𦸊,"cv,cs"
𦸏,cf
𦸐,ct
𦸓,cu
𦸔,cp
𦸗,cx
𦸘,cg
𦸙,ce
𦸚,cb
𦸛,cg
𦸡,ce
𦸢,cy
𦸣,cu
𦸪,cf
𦸮,ck
𦸯,cm
𦸰,cu
𦸱,cj
𦸶,iu
𦸷,cg
𦸺,cn
𦹫,cu
𦹽,cu
𦺆,cu
𦺇,cm
𦺉,cc
𦺊,ce
𦺋,cy
𦺌,"cw,cy"
𦺍,cd
𦺎,ck
𦺐,cg
𦺑,cm
𦺒,cn
𦺓,co
𦺔,cy
𦺖,ck
𦺗,cl
𦺘,ck
𦺙,cn
𦺛,cu
𦺜,cl
𦺞,ck
𦺟,ca
𦺠,cg
𦺡,cu
𦺢,ck
𦺣,cb
𦺥,ce
𦺦,cd
𦺧,cd
𦺨,cn
𦺩,cg
𦺪,ch
𦺫,cl
𦺬,cd
𦺭,cy
𦺰,cx
𦺱,cb
𦺲,cb
𦺴,cm
𦺵,cm
𦺶,cd
𦺷,ce
𦺸,cl
𦺹,ce
𦺻,cw
𦺽,cd
𦺾,cd
𦻀,cr
𦻁,cr
𦻃,cf
𦻅,cf
𦼆,cy
𦼇,cx
𦼈,ch
𦼉,cf
𦼊,cw
𦼋,cu
𦼎,cv
𦼏,co
𦼓,ch
𦼗,cn
𦼡,cj
𦼢,cj
𦼧,cx
𦼪,cm
𦼫,cu
𦼭,cc
𦼮,cg
𦼰,cv
𦼱,cv
𦼲,ct
𦼳,cw
𦼴,cw
𦼵,cm
𦼷,cy
𦼹,ch
𦼻,cw
𦼿,cb
𦽀,cb
𦽁,cg
𦽂,ct
𦽃,cc
𦽄,cy
𦽅,ck
𦽇,cz
𦽊,ck
𦽋,ck
𦽎,cu
𦽏,cj
𦽐,cy
𦽒,cu
𦽔,cx
𦽕,cq
𦽖,ch
𦽜,cj
𦽞,ce
𦽟,cz
𦽤,cn
𦽩,cm
𦽫,cx
𦽬,cl
𦽭,cj
𦽮,cn
𦾏,cj
𦾑,cd
𦾕,ct
𦾘,cx
𦾙,cu
𦾚,ct
𦾛,cl
𦾝,ce
𦾞,cm
𦾩,cj
𦾫,cy
𦾬,cb
𦾭,cf
𦾮,cm
𦾰,ch
𦾱,cg
𦾲,cb
𦾳,cw
𦾵,cm
𦾶,cj
𦾷,cp
𦾸,ce
𦾹,cw
𦾺,cd
𦾻,cx
𦾽,cz
𦾾,cz
𦾿,co
𦿀,co
𦿁,ct
𦿂,cn
𦿃,co
𦿅,cj
𦿆,cw
𦿇,ce
𦿊,ct
𦿋,cv
𦿌,ch
𦿍,cn
𦿏,cx
𦿐,cg
𦿓,cy
𦿖,cb
𧀄,cw
𧀅,ch
𧀆,ca
𧀇,ct
𧀊,cm
𧀌,cr
𧀔,"cp,cd"
𧀕,cz
𧀗,ct
𧀘,cb
𧀙,ch
𧀚,ch
𧀠,cr
𧀡,ch
𧀢,cm
𧀣,cf
𧀤,ck
𧀥,cw
𧀦,co
𧀧,cw
𧀨,cv
𧀩,cw
𧀬,cu
𧀭,cd
𧀮,cw
𧀯,ct
𧀰,cj
𧀱,cx
𧀲,ce
𧀴,co
𧀵,cm
𧀶,cr
𧀺,cb
𧀻,ck
𧀿,ce
𧁃,ct
𧁈,cm
𧁉,cb
𧁊,cx
𧁋,cx
𧁾,cg
𧁿,ci
𧂁,cg
𧂂,cg
𧂃,cb
𧂄,cj
𧂅,cp
𧂆,cr
𧂇,cc
𧂈,cm
𧂉,ct
𧂋,cx
𧂍,cz
𧂏,cz
𧂐,cb
𧂒,ch
𧂔,cy
𧂙,ch
𧂛,cw
𧂜,cn
𧂝,cg
𧂞,ch
𧂠,cz
𧂡,cx
𧂢,cy
𧂨,cr
𧂩,ci
𧃏,cr
𧃐,ck
𧃑,cz
𧃒,cn
𧃔,cf
𧃘,cq
𧃙,cl
𧃚,cz
𧃛,"cr,cz"
𧃝,cg
𧃞,cb
𧃟,cb
𧃠,co
𧃨,ce
𧃩,cr
𧃪,xk
𧃮,cl
𧃱,cx
𧄍,cx
𧄎,cx
𧄏,cw
𧄐,cy
𧄑,cb
𧄒,cf
𧄓,uv
𧄔,co
𧄚,cl
𧄛,ck
𧄜,cx
𧄠,cm
𧄤,ck
𧄰,cf
𧄸,cq
𧄹,co
𧄺,cb
𧄻,cv
𧄼,ca
𧄽,cb
𧄿,cf
𧅀,cj
𧅃,ch
𧅄,cw
𧅆,ci
𧅈,cf
𧅋,"cu,cf"
𧅖,cn
𧅗,ch
𧅘,ce
𧅚,cy
𧅮,ci
𧅯,cn
𧅰,cy
𧅲,cm
𧅺,cy
𧆂,cj
𧆉,cx
𧆊,ca
𧆏,co
𧆐,cb
𧆑,cf
𧆓,cb
𧆕,ch
𧆜,"hv,hk"
𧆡,jj
𧆣,hk
𧆥,hj
𧆦,qj
𧆯,hc
𧆰,hz
𧆷,hs
𧆸,hh
𧆹,hx
𧆺,rj
𧆻,hk
𧆼,hd
𧇄,ht
𧇈,hq
𧇌,hk
𧇍,fj
𧇎,hk
𧇓,he
𧇙,hl
𧇚,hb
𧇛,hc
𧇜,ij
𧇝,uj
𧇞,hq
𧇟,hk
𧇠,hj
𧇡,hk
𧇥,hm
𧇦,dj
𧇮,hk
𧇯,hz
𧇰,hx
𧇱,hk
𧇶,ho
𧇷,oj
𧇸,hh
𧇹,hu
𧇼,ka
𧇿,hq
𧈁,br
𧈄,hw
𧈅,uj
𧈈,hg
𧈌,aj
𧈍,kj
𧈑,hy
𧈔,ho
𧈖,ij
𧈗,ij
𧈙,hc
𧈚,hm
𧈜,hm
𧈝,iv
𧈞,iv
𧈢,ib
𧈦,ni
𧈧,si
𧈪,vi
𧈭,iw
𧈯,"iv,ik"
𧈻,iy
𧈼,ip
𧈽,is
𧈾,ih
𧈿,ix
𧉀,iv
𧉁,qi
𧉂,it
𧉃,ie
𧉅,iy
𧉆,ir
𧉇,bi
𧉈,ib
𧉊,bi
𧉍,id
𧉎,io
𧉑,it
𧉔,iv
𧉗,ei
𧉛,iy
𧉞,id
𧉟,ik
𧉡,"ij,ie"
𧉢,ib
𧉣,iy
𧉤,ic
𧉥,li
𧉧,is
𧉩,ij
𧉪,li
𧉫,iy
𧉭,ni
𧉮,iy
𧉲,ig
𧊄,ib
𧊅,il
𧊇,ri
𧊏,ir
𧊒,di
𧊔,ii
𧊕,iu
𧊖,ig
𧊘,ik
𧊙,io
𧊚,ik
𧊛,ik
𧊜,"il,ip"
𧊞,id
𧊟,ni
𧊠,in
𧊣,iy
𧊥,iu
𧊦,if
𧊧,ri
𧊬,ci
𧊭,id
𧊱,im
𧊶,im
𧊷,in
𧊽,ii
𧊾,mi
𧋉,ik
𧋊,di
𧋌,ai
𧋍,ij
𧋎,il
𧋏,ij
𧋐,iu
𧋑,ig
𧋒,id
𧋓,ik
𧋔,gi
𧋕,im
𧋖,iv
𧋗,ut
𧋘,ip
𧋚,ri
𧋠,ui
𧋡,"ia,ii"
𧋱,il
𧋲,wi
𧌁,ri
𧌃,in
𧌄,id
𧌅,iy
𧌆,ig
𧌇,io
𧌈,ij
𧌉,it
𧌊,in
𧌋,ie
𧌌,oi
𧌍,iu
𧌎,ib
𧌏,io
𧌐,ai
𧌑,ii
𧌔,mi
𧌖,ik
𧌗,iy
𧌘,oi
𧌙,yi
𧌚,ih
𧌝,di
𧌞,ie
𧌠,pi
𧌢,yi
𧌣,di
𧌧,id
𧌻,mi
𧌽,id
𧌾,id
𧌿,pi
𧍀,bi
𧍁,in
